10000 [3.20e-01, 7.35e-02, 9.93e-03]
10100 [3.21e-01, 7.26e-02, 1.00e-02]
10200 [3.22e-01, 7.24e-02, 1.07e-02]
10300 [3.24e-01, 7.16e-02, 1.09e-02]
10400 [3.27e-01, 7.10e-02, 1.10e-02]
10500 [3.28e-01, 7.04e-02, 1.15e-02]
10600 [3.30e-01, 6.96e-02, 1.14e-02]
10700 [3.32e-01, 6.92e-02, 1.17e-02]
10800 [3.35e-01, 6.85e-02, 1.16e-02]
10900 [3.39e-01, 6.80e-02, 1.18e-02]
11000 [3.42e-01, 6.74e-02, 1.17e-02]
11100 [3.45e-01, 6.69e-02, 1.18e-02]
11200 [3.49e-01, 6.64e-02, 1.18e-02]
11300 [3.53e-01, 6.59e-02, 1.18e-02]
11400 [3.58e-01, 6.56e-02, 1.18e-02]
11500 [3.63e-01, 6.50e-02, 1.17e-02]
11600 [3.66e-01, 6.46e-02, 1.16e-02]
11700 [3.70e-01, 6.41e-02, 1.15e-02]
11800 [3.74e-01, 6.36e-02, 1.14e-02]
11900 [3.78e-01, 6.32e-02, 1.12e-02]
12000 [3.83e-01, 6.28e-02, 1.09e-02]
12100 [3.88e-01, 6.26e-02, 1.10e-02]
12200 [3.92e-01, 6.23e-02, 1.08e-02]
12300 [3.97e-01, 6.24e-02, 1.07e-02]
12400 [4.04e-01, 6.25e-02, 1.05e-02]
12500 [4.07e-01, 6.25e-02, 1.03e-02]
12600 [4.12e-01, 6.26e-02, 1.03e-02]
12700 [4.16e-01, 6.26e-02, 1.00e-02]
12800 [4.20e-01, 6.27e-02, 9.84e-03]
12900 [4.25e-01, 6.30e-02, 9.75e-03]
13000 [4.29e-01, 6.34e-02, 9.81e-03]
13100 [4.33e-01, 6.37e-02, 9.82e-03]
13200 [4.38e-01, 6.41e-02, 9.81e-03]
13300 [4.42e-01, 6.43e-02, 9.68e-03]
13400 [4.46e-01, 6.49e-02, 9.84e-03]
13500 [4.50e-01, 6.52e-02, 9.72e-03]
13600 [4.51e-01, 6.53e-02, 9.44e-03]
13700 [4.58e-01, 6.58e-02, 9.51e-03]
13800 [4.60e-01, 6.61e-02, 9.43e-03]
13900 [4.64e-01, 6.65e-02, 9.28e-03]
14000 [4.70e-01, 6.71e-02, 9.73e-03]
14100 [4.73e-01, 6.71e-02, 9.25e-03]
14200 [4.76e-01, 6.74e-02, 9.25e-03]
14300 [4.76e-01, 6.75e-02, 9.14e-03]
14400 [4.80e-01, 6.80e-02, 9.21e-03]
14500 [4.85e-01, 6.81e-02, 8.97e-03]
14600 [4.87e-01, 6.82e-02, 8.87e-03]
14700 [4.92e-01, 6.86e-02, 8.83e-03]
14800 [4.94e-01, 6.86e-02, 8.73e-03]
14900 [4.95e-01, 6.89e-02, 8.62e-03]
15000 [4.94e-01, 6.88e-02, 8.45e-03]
